69.997,125.788,80.209,79.032,80.615,78.191,120.709,122.922,321.194,63.374,163.949,61.373,251.076,121.237
72.794,121.117,75.16,76.676,80.393,82.659,125.436,124.221,325.924,59.588,167.652,56.378,254.82,108.777
72.977,125.505,84.053,77.544,82.894,76.088,123.417,121.868,317.348,56.263,156.192,65.552,264.951,112.945
75.904,123.479,71.838,71.243,84.094,74.663,126.496,127.668,327.827,59.339,174.114,56.137,254.778,109.568
79.126,125.68,83.585,77.894,77.855,78.333,123.357,120.059,323.985,61.057,164.722,59.844,255.911,107.9
65.479,117.218,69.52,74.225,71.206,77.003,119.635,114.099,303.582,50.528,163.138,50.561,236.414,101.55
67.972,114.743,79.788,64.059,75.775,68.26,121.967,120.242,311.417,50.835,154.926,55.02,243.57,105.084
73.032,123.991,69.99,77.116,77.325,71.483,127.886,123.336,316.357,51.48,161.778,61.585,265.205,109.089
77.537,134.967,79.134,72.142,87.454,79.997,118.45,122.27,316.55,53.949,166.756,60.798,265.755,107.964
73.006,114.976,84.901,73.026,84.37,74.16,125.811,122.214,335.86,55.106,164.453,56.888,255.479,117.055
74.735,126.984,80.052,76.467,79.779,81.508,118.663,126.194,329.237,55.997,170.671,63.516,260.092,117.486
76.858,126.991,73.51,81.491,77.9,73.806,118.591,127.535,327.018,54.017,167.716,59.41,258.557,111.515
75.393,116.382,72.285,72.773,66.668,71.867,111.486,111.421,297.914,52.043,149.764,54.243,234.741,110.447
61.094,114.978,73.524,69.765,74.241,74.268,113.645,120.072,303.484,54.823,156.324,56.535,246.488,96.275
77.819,124.847,81.572,79.429,75.582,78.727,119.037,123.677,335.456,56.642,172.933,60.649,257.986,108.017
72.423,125.838,79.043,76.118,79.766,73.691,122.311,135.224,333.541,51.768,164.01,50.615,252.372,111.166
75.061,123.586,81.608,77.294,81.452,79.014,128.33,126.902,318.569,58.106,167.679,63.309,252.265,109.558
75.955,132.027,78.931,77.021,78.697,74.716,133.343,123.251,321.759,52.597,161.12,62.031,250.159,110.937
68.901,129.103,79.137,77.781,79.211,80.126,124.066,118.068,324.687,55.662,172.477,50.939,259.961,109.789
70.13,114.042,75.834,73.474,76.374,70.551,107.852,117.038,306.807,48.784,154.173,52.749,236.651,96.613
67.098,118.551,79.93,67.712,77.413,69.21,121.79,111.874,298.757,42.502,172.98,49.981,243.142,106.723
73.772,113.989,79.421,79.042,84.158,78.115,126.079,124.375,313.602,53.079,175.454,60.258,251.737,113.4
76.29,115.546,81.857,83.028,80.648,72.934,133.523,116.868,335.793,52.038,163.554,62.95,264.075,104.024
72.276,119.109,77.573,74.72,81.751,81.693,128.051,117.767,325.746,56.461,182.898,60.104,254.848,104.611
84.362,120.609,75.012,70.138,77.516,78.943,122.598,122.683,322.659,54.444,170.239,60.946,259.659,115.425
74.774,125.777,82.13,80.381,82.697,78.877,121.469,124.267,322.272,56.408,171.979,51.037,260.042,112.81
70.075,113.202,72.028,65.903,84.481,70.706,104.437,119.924,312.136,50.267,156.196,53.21,238.012,101.512
67.559,114.492,79.901,66.041,69.814,69.663,120.11,117.741,307.058,53.645,146.589,55.923,226.733,98.254
67.682,126.941,84.351,83.937,80.344,84.956,113.913,130.205,323.336,59.86,169.71,55.866,245.374,117.19
73.976,131.579,81.048,80.699,75.884,81.236,117.64,121.143,331.292,59.813,170.494,61.465,258.413,103.286
80.106,126.416,76.6,83.221,76.947,73.444,120.736,125.062,323.429,56.093,167.406,54.266,260.086,104.961
71.453,114.648,77.613,74.876,75.616,76.445,120.707,115.812,313.182,53.015,162.369,48.289,240.57,102.731
74.398,115.038,69.002,75.023,72.693,76.917,122.374,120.698,312.93,54.821,168.22,53.223,245.595,111.194
72.754,115.51,73.538,69.753,76.781,72.222,122.438,119.724,303.303,54.161,158.858,55.958,243.435,109.492
66.693,112.964,73.141,72.447,73.884,65.492,114.055,119.247,313.071,50.069,156.743,57.027,247.839,95.588
76.815,122.793,85.145,72.581,83.328,82.429,128.707,120.408,337.231,54.296,169.412,56.983,264.859,106.6
74.459,130.763,80.232,76.956,73.999,73.012,123.458,120.825,319.783,57.619,168.342,56.906,268.097,111.155
